"id"	"sample_id"	"t0_grade_id"	"validated"	"t4_grade_id"	"call_id"	"annotation"
2577	1023	28	"false"	28	1	
2578	1024	17	"false"	17	1	
2579	1027	17	"false"	17	1	
2580	1028	17	"false"	17	1	
2581	1030	17	"false"	17	1	
2583	1034	28	"false"	28	1	
2584	1035	17	"false"	17	1	
2585	1038	17	"false"	17	1	
2587	1041	17	"false"	17	1	
2588	1042	21	"false"	21	1	
2589	1044	17	"false"	17	1	
2590	1047	28	"false"	28	1	
2533	947	17	"true"	17	1	
2483	854	17	"true"	17	1	
2427	761	17	"true"	17	1	
2582	1032	17	"true"	17	1	
2440	782	17	"true"	17	1	
2545	976	17	"true"	17	1	
2591	1048	17	"false"	17	1	
2592	1050	17	"false"	17	1	
2593	1052	17	"false"	17	1	
2594	1056	17	"false"	17	1	
2595	1057	17	"false"	17	1	
2596	1059	17	"false"	17	1	
2597	1061	17	"false"	17	1	
2598	1063	17	"false"	17	1	
2599	1064	17	"false"	17	1	
2601	1066	17	"false"	17	1	
2602	1067	17	"false"	17	1	
2603	1069	17	"false"	17	1	
2604	1071	17	"false"	17	1	
2605	1072	17	"false"	17	1	
2606	1073	17	"false"	17	1	
2607	1074	17	"false"	17	1	
2608	1075	17	"false"	17	1	
2609	1076	17	"false"	17	1	
2610	1080	17	"false"	17	1	
2611	1081	17	"false"	17	1	
2612	1085	17	"false"	17	1	
2614	1087	17	"false"	17	1	
2615	1088	17	"false"	17	1	
2616	1089	17	"false"	17	1	
2617	1090	17	"false"	17	1	
2618	1091	17	"false"	17	1	
2619	1093	19	"false"	19	1	
2620	1094	17	"false"	17	1	
2621	1095	17	"false"	17	1	
2622	1099	17	"false"	17	1	
2623	1100	18	"false"	18	1	
2624	1102	25	"false"	25	1	
2625	1104	17	"false"	17	1	
2626	1108	17	"false"	17	1	
2627	1109	17	"false"	17	1	
2628	1114	17	"false"	17	1	
2629	1116	17	"false"	17	1	
2630	1117	17	"false"	17	1	
2631	1119	17	"false"	17	1	
2632	1120	17	"false"	17	1	
2633	1123	17	"false"	17	1	
2634	1124	17	"false"	17	1	
